workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,arrival_time,execution_start,completion_time,turnaround_time,wait_time
small_1,512,1,0.003937721252441406,0.9051735401153564,0.10710978507995605,1.016221046447754,0,0.0,0.0,1.0162301063537598,1.0162301063537598,0.0
large_1,1536,3,0.008416414260864258,3.0020599365234375,0.13797688484191895,3.1484532356262207,0,0.0,1.0162301063537598,4.164693117141724,4.164693117141724,1.0162301063537598
small_2,512,1,0.0051288604736328125,0.9069302082061768,0.09250926971435547,1.004568338394165,0,0.0,4.164693117141724,5.169269800186157,5.169269800186157,4.164693117141724
large_2,1536,3,0.008311748504638672,3.0007994174957275,0.09626340866088867,3.105374574661255,0,0.0,5.169269800186157,8.274653911590576,8.274653911590576,5.169269800186157
small_1,512,1,0.0043218135833740234,0.9046981334686279,0.09271740913391113,1.001737356185913,1,0.0,0.0,1.0017480850219727,1.0017480850219727,0.0
large_1,1536,3,0.008281946182250977,2.999610424041748,0.09760308265686035,3.1054954528808594,1,0.0,1.0017480850219727,4.10725212097168,4.10725212097168,1.0017480850219727
small_2,512,1,0.004926919937133789,0.9149196147918701,0.09383749961853027,1.0136840343475342,1,0.0,4.10725212097168,5.12094259262085,5.12094259262085,4.10725212097168
large_2,1536,3,0.008417129516601562,3.0397274494171143,0.0953836441040039,3.1435282230377197,1,0.0,5.12094259262085,8.26447868347168,8.26447868347168,5.12094259262085
small_1,512,1,0.004405498504638672,0.9038474559783936,0.09457039833068848,1.0028233528137207,2,0.0,0.0,1.0028345584869385,1.0028345584869385,0.0
large_1,1536,3,0.008305072784423828,3.0385940074920654,0.0983433723449707,3.14524245262146,2,0.0,1.0028345584869385,4.14808464050293,4.14808464050293,1.0028345584869385
small_2,512,1,0.004149913787841797,0.9146840572357178,0.09407901763916016,1.0129129886627197,2,0.0,4.14808464050293,5.161005258560181,5.161005258560181,4.14808464050293
large_2,1536,3,0.008280277252197266,3.037017822265625,0.13994216918945312,3.1852402687072754,2,0.0,5.161005258560181,8.34625506401062,8.34625506401062,5.161005258560181
